Date Time,VALUE,QUALITY,COMMENT
2016/06/07 00:00:00,5.248,15,
2016/06/08 00:00:00,3.590,15,
2016/06/09 00:00:00,2.563,15,
2016/06/10 00:00:00,2.195,15,
2016/06/11 00:00:00,1.959,15,
2016/06/12 00:00:00,1.791,15,
2016/06/13 00:00:00,1.652,15,
2016/06/14 00:00:00,1.531,15,
2016/06/15 00:00:00,1.429,15,
2016/06/16 00:00:00,1.379,15,
2016/06/17 00:00:00,1.364,15,
2016/06/18 00:00:00,1.343,15,
2016/06/19 00:00:00,1.349,15,
2016/06/20 00:00:00,1.528,15,
2016/06/21 00:00:00,2.271,15,
2016/06/22 00:00:00,2.466,15,
2016/06/23 00:00:00,2.237,15,
2016/06/24 00:00:00,2.012,15,
2016/06/25 00:00:00,1.837,15,
2016/06/26 00:00:00,1.693,15,
2016/06/27 00:00:00,1.600,15,
2016/06/28 00:00:00,1.536,15,
2016/06/29 00:00:00,1.457,15,
2016/06/30 00:00:00,1.396,15,
2016/07/01 00:00:00,1.352,15,
2016/07/02 00:00:00,1.323,15,
2016/07/03 00:00:00,1.283,15,
2016/07/04 00:00:00,1.245,15,
2016/07/05 00:00:00,1.226,15,
2016/07/06 00:00:00,1.975,15,
2016/07/07 00:00:00,3.364,15,
2016/07/08 00:00:00,4.023,15,
2016/07/09 00:00:00,3.352,15,
2016/07/10 00:00:00,2.818,15,
2016/07/11 00:00:00,2.553,15,
2016/07/12 00:00:00,2.377,15,
2016/07/13 00:00:00,2.233,15,
2016/07/14 00:00:00,2.113,15,
2016/07/15 00:00:00,2.005,15,
2016/07/16 00:00:00,1.906,15,
2016/07/17 00:00:00,1.822,15,
2016/07/18 00:00:00,1.760,15,
2016/07/19 00:00:00,1.736,15,
2016/07/20 00:00:00,1.697,15,
2016/07/21 00:00:00,1.641,15,
2016/07/22 00:00:00,1.621,15,
2016/07/23 00:00:00,2.108,15,
2016/07/24 00:00:00,1.984,15,
2016/07/25 00:00:00,2.087,15,
2016/07/26 00:00:00,2.070,15,
2016/07/27 00:00:00,1.907,15,
2016/07/28 00:00:00,1.773,15,
2016/07/29 00:00:00,1.640,15,
2016/07/30 00:00:00,1.579,15,
2016/07/31 00:00:00,1.535,15,
2016/08/01 00:00:00,1.516,15,
2016/08/02 00:00:00,1.535,15,
2016/08/03 00:00:00,1.529,15,
2016/08/04 00:00:00,1.505,15,
2016/08/05 00:00:00,1.508,15,
2016/08/06 00:00:00,1.503,15,
2016/08/07 00:00:00,1.507,15,
2016/08/08 00:00:00,1.495,15,
2016/08/09 00:00:00,1.459,15,
2016/08/10 00:00:00,1.433,15,
2016/08/11 00:00:00,1.438,15,
2016/08/12 00:00:00,1.379,15,
2016/08/13 00:00:00,1.336,15,
2016/08/14 00:00:00,1.291,15,
2016/08/15 00:00:00,1.278,15,
2016/08/16 00:00:00,1.297,15,
2016/08/17 00:00:00,1.276,15,
2016/08/18 00:00:00,1.268,15,
2016/08/19 00:00:00,1.251,15,
2016/08/20 00:00:00,1.476,15,
2016/08/21 00:00:00,1.412,15,
2016/08/22 00:00:00,1.333,15,
2016/08/23 00:00:00,1.272,15,
2016/08/24 00:00:00,1.234,15,
2016/08/25 00:00:00,1.223,15,
2016/08/26 00:00:00,1.212,15,
2016/08/27 00:00:00,1.203,15,
2016/08/28 00:00:00,1.180,15,
2016/08/29 00:00:00,1.168,15,
2016/08/30 00:00:00,1.160,15,
2016/08/31 00:00:00,1.165,15,
2016/09/01 00:00:00,1.330,15,
2016/09/02 00:00:00,1.239,15,
2016/09/03 00:00:00,1.656,15,
2016/09/04 00:00:00,2.165,15,
2016/09/05 00:00:00,2.275,15,
2016/09/06 00:00:00,2.228,15,
2016/09/07 00:00:00,1.963,15,
2016/09/08 00:00:00,1.754,15,
2016/09/09 00:00:00,1.615,15,
2016/09/10 00:00:00,1.855,15,
2016/09/11 00:00:00,2.149,15,
2016/09/12 00:00:00,2.659,15,
2016/09/13 00:00:00,2.431,15,
2016/09/14 00:00:00,2.213,15,
2016/09/15 00:00:00,2.097,15,
2016/09/16 00:00:00,2.018,15,
2016/09/17 00:00:00,1.916,15,
2016/09/18 00:00:00,1.854,15,
2016/09/19 00:00:00,1.864,15,
2016/09/20 00:00:00,1.841,15,
2016/09/21 00:00:00,1.874,15,
2016/09/22 00:00:00,1.968,15,
2016/09/23 00:00:00,2.114,15,
2016/09/24 00:00:00,2.257,15,
2016/09/25 00:00:00,2.169,15,
2016/09/26 00:00:00,2.083,15,
2016/09/27 00:00:00,2.008,15,
2016/09/28 00:00:00,1.946,15,
2016/09/29 00:00:00,1.864,15,
2016/09/30 00:00:00,1.895,15,
2016/10/01 00:00:00,1.897,15,
2016/10/02 00:00:00,1.839,15,
2016/10/03 00:00:00,1.800,15,
2016/10/04 00:00:00,1.843,15,
2016/10/05 00:00:00,1.989,15,
2016/10/06 00:00:00,1.861,15,
2016/10/07 00:00:00,2.171,15,
2016/10/08 00:00:00,2.072,15,
2016/10/09 00:00:00,1.916,15,
2016/10/10 00:00:00,1.862,15,
2016/10/11 00:00:00,1.901,15,
2016/10/12 00:00:00,1.760,15,
2016/10/13 00:00:00,1.742,15,
2016/10/14 00:00:00,1.694,15,
2016/10/15 00:00:00,1.607,15,
2016/10/16 00:00:00,1.557,15,
2016/10/17 00:00:00,1.711,15,
2016/10/18 00:00:00,1.711,15,
2016/10/19 00:00:00,1.727,15,
2016/10/20 00:00:00,1.652,15,
2016/10/21 00:00:00,1.587,15,
2016/10/22 00:00:00,1.631,15,
2016/10/23 00:00:00,1.755,15,
2016/10/24 00:00:00,1.797,15,
2016/10/25 00:00:00,1.708,15,
2016/10/26 00:00:00,1.667,15,
2016/10/27 00:00:00,1.671,15,
2016/10/28 00:00:00,1.630,15,
2016/10/29 00:00:00,1.554,15,
2016/10/30 00:00:00,1.455,15,
2016/10/31 00:00:00,1.542,15,
2016/11/01 00:00:00,1.444,15,
2016/11/02 00:00:00,1.380,15,
2016/11/03 00:00:00,1.345,15,
2016/11/04 00:00:00,1.320,15,
2016/11/05 00:00:00,1.275,15,
2016/11/06 00:00:00,1.241,15,
2016/11/07 00:00:00,1.225,15,
2016/11/08 00:00:00,1.206,15,
2016/11/09 00:00:00,1.169,15,
2016/11/10 00:00:00,1.151,2,
2016/11/11 00:00:00,1.133,2,
2016/11/12 00:00:00,1.126,2,
2016/11/13 00:00:00,1.134,2,
2016/11/14 00:00:00,1.209,2,
2016/11/15 00:00:00,1.183,2,
2016/11/16 00:00:00,1.127,2,
2016/11/17 00:00:00,1.097,2,
2016/11/18 00:00:00,1.069,2,
2016/11/19 00:00:00,1.057,2,
2016/11/20 00:00:00,1.044,2,
2016/11/21 00:00:00,1.018,2,
2016/11/22 00:00:00,0.990,2,
2016/11/23 00:00:00,1.024,2,
2016/11/24 00:00:00,1.284,2,
2016/11/25 00:00:00,1.188,2,
2016/11/26 00:00:00,1.084,2,
2016/11/27 00:00:00,1.024,2,
2016/11/28 00:00:00,1.004,2,
2016/11/29 00:00:00,0.998,2,
2016/11/30 00:00:00,1.010,2,
2016/12/01 00:00:00,1.075,2,
2016/12/02 00:00:00,1.031,2,
2016/12/03 00:00:00,0.960,2,
2016/12/04 00:00:00,0.956,2,
2016/12/05 00:00:00,1.021,2,
2016/12/06 00:00:00,1.021,2,
2016/12/07 00:00:00,0.981,50,
2016/12/08 00:00:00,0.934,50,
2016/12/09 00:00:00,1.358,50,
2016/12/10 00:00:00,1.337,50,
2016/12/11 00:00:00,1.178,50,
2016/12/12 00:00:00,1.016,50,
2016/12/13 00:00:00,0.939,50,
2016/12/14 00:00:00,0.885,50,
2016/12/15 00:00:00,0.862,50,
2016/12/16 00:00:00,0.848,50,
2016/12/17 00:00:00,0.839,50,
2016/12/18 00:00:00,0.820,50,
2016/12/19 00:00:00,0.792,50,
2016/12/20 00:00:00,0.777,50,
2016/12/21 00:00:00,0.774,50,
2016/12/22 00:00:00,0.766,50,
2016/12/23 00:00:00,0.745,50,
2016/12/24 00:00:00,0.741,50,
2016/12/25 00:00:00,0.727,50,
2016/12/26 00:00:00,0.767,50,
2016/12/27 00:00:00,0.728,50,
2016/12/28 00:00:00,0.715,50,
2016/12/29 00:00:00,0.764,50,
2016/12/30 00:00:00,0.772,50,
2016/12/31 00:00:00,0.835,50,
2017/01/01 00:00:00,0.806,50,
2017/01/02 00:00:00,0.735,50,
2017/01/03 00:00:00,0.729,50,
2017/01/04 00:00:00,0.718,50,
2017/01/05 00:00:00,0.706,50,
2017/01/06 00:00:00,0.810,50,
2017/01/07 00:00:00,0.765,50,
2017/01/08 00:00:00,0.722,50,
2017/01/09 00:00:00,0.678,50,
2017/01/10 00:00:00,0.715,50,
2017/01/11 00:00:00,0.747,2,
2017/01/12 00:00:00,0.660,2,
2017/01/13 00:00:00,0.631,2,
2017/01/14 00:00:00,0.640,2,
2017/01/15 00:00:00,0.712,2,
2017/01/16 00:00:00,0.629,2,
2017/01/17 00:00:00,0.594,2,
2017/01/18 00:00:00,0.574,2,
2017/01/19 00:00:00,0.563,2,
2017/01/20 00:00:00,0.558,2,
2017/01/21 00:00:00,0.574,2,
2017/01/22 00:00:00,0.591,2,
2017/01/23 00:00:00,0.555,2,
2017/01/24 00:00:00,0.532,2,
2017/01/25 00:00:00,0.519,2,
2017/01/26 00:00:00,0.511,2,
2017/01/27 00:00:00,0.593,2,
2017/01/28 00:00:00,0.591,2,
2017/01/29 00:00:00,0.547,2,
2017/01/30 00:00:00,0.514,2,
2017/01/31 00:00:00,0.491,2,
2017/02/01 00:00:00,0.477,2,
2017/02/02 00:00:00,0.468,2,
2017/02/03 00:00:00,0.464,2,
2017/02/04 00:00:00,0.457,2,
2017/02/05 00:00:00,0.447,2,
2017/02/06 00:00:00,0.462,2,
2017/02/07 00:00:00,0.539,2,
2017/02/08 00:00:00,0.595,2,
2017/02/09 00:00:00,0.554,2,
2017/02/10 00:00:00,0.530,2,
2017/02/11 00:00:00,0.519,2,
2017/02/12 00:00:00,0.525,2,
2017/02/13 00:00:00,0.539,2,
2017/02/14 00:00:00,0.570,2,
2017/02/15 00:00:00,0.547,2,
2017/02/16 00:00:00,0.525,2,
2017/02/17 00:00:00,0.514,2,
2017/02/18 00:00:00,0.496,2,
2017/02/19 00:00:00,0.491,2,
2017/02/20 00:00:00,0.487,2,
2017/02/21 00:00:00,0.499,2,
2017/02/22 00:00:00,0.501,2,
2017/02/23 00:00:00,0.483,2,
2017/02/24 00:00:00,0.466,2,
2017/02/25 00:00:00,0.456,2,
2017/02/26 00:00:00,0.453,2,
2017/02/27 00:00:00,0.457,2,
2017/02/28 00:00:00,0.456,2,
2017/03/01 00:00:00,0.569,2,
2017/03/02 00:00:00,0.534,2,
2017/03/03 00:00:00,0.509,2,
2017/03/04 00:00:00,0.518,2,
2017/03/05 00:00:00,0.594,2,
2017/03/06 00:00:00,0.608,2,
2017/03/07 00:00:00,0.620,2,
2017/03/08 00:00:00,0.609,2,
2017/03/09 00:00:00,0.600,2,
2017/03/10 00:00:00,0.589,2,
2017/03/11 00:00:00,0.598,2,
2017/03/12 00:00:00,0.649,2,
2017/03/13 00:00:00,0.638,2,
2017/03/14 00:00:00,0.638,2,
2017/03/15 00:00:00,0.625,2,
2017/03/16 00:00:00,0.586,2,
2017/03/17 00:00:00,0.598,2,
2017/03/18 00:00:00,0.593,2,
2017/03/19 00:00:00,0.559,2,
2017/03/20 00:00:00,0.543,2,
2017/03/21 00:00:00,0.591,2,
2017/03/22 00:00:00,0.684,2,
2017/03/23 00:00:00,0.705,2,
2017/03/24 00:00:00,0.823,2,
2017/03/25 00:00:00,0.774,2,
2017/03/26 00:00:00,0.761,2,
2017/03/27 00:00:00,0.713,2,
2017/03/28 00:00:00,0.685,2,
2017/03/29 00:00:00,0.673,2,
2017/03/30 00:00:00,0.649,2,
2017/03/31 00:00:00,0.640,2,
2017/04/01 00:00:00,0.635,2,
2017/04/02 00:00:00,0.639,2,
2017/04/03 00:00:00,0.620,2,
2017/04/04 00:00:00,0.613,2,
2017/04/05 00:00:00,0.625,2,
2017/04/06 00:00:00,0.599,2,
2017/04/07 00:00:00,0.579,2,
2017/04/08 00:00:00,0.566,2,
2017/04/09 00:00:00,0.580,2,
2017/04/10 00:00:00,0.653,2,
2017/04/11 00:00:00,0.818,2,
2017/04/12 00:00:00,0.783,2,
2017/04/13 00:00:00,0.688,2,
2017/04/14 00:00:00,0.638,2,
2017/04/15 00:00:00,0.612,2,
2017/04/16 00:00:00,0.598,2,
2017/04/17 00:00:00,0.611,2,
2017/04/18 00:00:00,0.633,2,
2017/04/19 00:00:00,0.643,2,
2017/04/20 00:00:00,0.676,2,
2017/04/21 00:00:00,0.673,2,
2017/04/22 00:00:00,0.671,2,
2017/04/23 00:00:00,0.662,2,
2017/04/24 00:00:00,0.661,2,
2017/04/25 00:00:00,0.663,2,
2017/04/26 00:00:00,0.702,2,
2017/04/27 00:00:00,0.764,2,
2017/04/28 00:00:00,0.715,2,
2017/04/29 00:00:00,0.675,2,
2017/04/30 00:00:00,0.656,2,
2017/05/01 00:00:00,0.638,2,
2017/05/02 00:00:00,0.667,2,
2017/05/03 00:00:00,0.701,2,
2017/05/04 00:00:00,0.693,2,
2017/05/05 00:00:00,0.667,2,
2017/05/06 00:00:00,0.644,2,
2017/05/07 00:00:00,0.614,2,
2017/05/08 00:00:00,0.590,2,
2017/05/09 00:00:00,0.583,2,
2017/05/10 00:00:00,0.580,2,
2017/05/11 00:00:00,0.578,2,
2017/05/12 00:00:00,0.574,2,
2017/05/13 00:00:00,0.569,2,
2017/05/14 00:00:00,0.568,2,
2017/05/15 00:00:00,0.576,2,
2017/05/16 00:00:00,0.605,2,
2017/05/17 00:00:00,0.614,2,
2017/05/18 00:00:00,0.600,2,
2017/05/19 00:00:00,0.598,2,
2017/05/20 00:00:00,0.675,2,
2017/05/21 00:00:00,0.830,2,
2017/05/22 00:00:00,0.917,2,
2017/05/23 00:00:00,0.867,2,
2017/05/24 00:00:00,0.907,2,
2017/05/25 00:00:00,1.072,2,
2017/05/26 00:00:00,1.018,2,
2017/05/27 00:00:00,0.935,2,
2017/05/28 00:00:00,0.870,2,
2017/05/29 00:00:00,0.873,2,
2017/05/30 00:00:00,0.884,2,
2017/05/31 00:00:00,0.832,2,
2017/06/01 00:00:00,0.793,2,
2017/06/02 00:00:00,0.758,2,
2017/06/03 00:00:00,0.745,2,
2017/06/04 00:00:00,0.737,2,
2017/06/05 00:00:00,0.719,2,
2017/06/06 00:00:00,0.716,2,
2017/06/07 00:00:00,0.730,2,
2017/06/08 00:00:00,0.757,2,
2017/06/09 00:00:00,0.765,2,
2017/06/10 00:00:00,0.830,2,
2017/06/11 00:00:00,0.826,2,
2017/06/12 00:00:00,0.861,2,
2017/06/13 00:00:00,0.871,2,
2017/06/14 00:00:00,0.886,2,
2017/06/15 00:00:00,0.880,2,
2017/06/16 00:00:00,0.931,2,
2017/06/17 00:00:00,1.602,2,
2017/06/18 00:00:00,1.364,2,
2017/06/19 00:00:00,1.242,2,
2017/06/20 00:00:00,1.145,2,
2017/06/21 00:00:00,1.111,2,
2017/06/22 00:00:00,1.076,2,
2017/06/23 00:00:00,1.000,2,
2017/06/24 00:00:00,0.958,2,
2017/06/25 00:00:00,0.907,2,
