date,target
1 May 2017,77
2 May 2017,68
3 May 2017,66
4 May 2017,66
5 May 2017,63
6 May 2017,62
7 May 2017,63
8 May 2017,62
9 May 2017,62
10 May 2017,79
11 May 2017,80
12 May 2017,70
13 May 2017,65
14 May 2017,64
15 May 2017,64
16 May 2017,63
17 May 2017,62
18 May 2017,62
19 May 2017,62
20 May 2017,61
21 May 2017,60
22 May 2017,66
23 May 2017,130
24 May 2017,98
25 May 2017,80
26 May 2017,74
27 May 2017,70
28 May 2017,68
29 May 2017,70
30 May 2017,77
31 May 2017,80
1 June 2017,64
2 June 2017,64
3 June 2017,67
4 June 2017,127
5 June 2017,361
6 June 2017,143
7 June 2017,103
8 June 2017,108
9 June 2017,168
10 June 2017,221
11 June 2017,271
12 June 2017,625
13 June 2017,1202
14 June 2017,3427
15 June 2017,1625
16 June 2017,1189
17 June 2017,1033
18 June 2017,990
19 June 2017,677
20 June 2017,521
21 June 2017,455
22 June 2017,462
23 June 2017,434
24 June 2017,374
25 June 2017,1780
26 June 2017,1132
27 June 2017,2501
28 June 2017,1190
29 June 2017,761
30 June 2017,611
1 July 2017,1190
2 July 2017,887
3 July 2017,732
4 July 2017,639
5 July 2017,582
6 July 2017,615
7 July 2017,648
8 July 2017,518
9 July 2017,476
10 July 2017,495
11 July 2017,1165
12 July 2017,2052
13 July 2017,2672
14 July 2017,1337
15 July 2017,1186
16 July 2017,1187
17 July 2017,894
18 July 2017,777
19 July 2017,692
20 July 2017,657
21 July 2017,647
22 July 2017,591
23 July 2017,536
24 July 2017,503
25 July 2017,472
26 July 2017,452
27 July 2017,423
28 July 2017,405
29 July 2017,409
30 July 2017,395
31 July 2017,384
1 August 2017,372
2 August 2017,368
3 August 2017,353
4 August 2017,333
5 August 2017,327
6 August 2017,688
7 August 2017,1307
8 August 2017,689
9 August 2017,812
10 August 2017,585
11 August 2017,531
12 August 2017,500
13 August 2017,468
14 August 2017,478
15 August 2017,625
16 August 2017,547
17 August 2017,729
18 August 2017,502
19 August 2017,452
20 August 2017,432
21 August 2017,449
22 August 2017,628
23 August 2017,498
24 August 2017,704
25 August 2017,703
26 August 2017,512
27 August 2017,462
28 August 2017,439
29 August 2017,574
30 August 2017,508
31 August 2017,651
1 September 2017,523
2 September 2017,472
3 September 2017,439
4 September 2017,430
5 September 2017,447
6 September 2017,464
7 September 2017,535
8 September 2017,549
9 September 2017,839
10 September 2017,989
11 September 2017,794
12 September 2017,863
13 September 2017,676
14 September 2017,586
15 September 2017,565
16 September 2017,758
17 September 2017,955
18 September 2017,1048
19 September 2017,1079
20 September 2017,1038
21 September 2017,816
22 September 2017,1068
23 September 2017,889
24 September 2017,783
25 September 2017,735
26 September 2017,744
27 September 2017,965
28 September 2017,1340
29 September 2017,1180
30 September 2017,1177
1 October 2017,1234
2 October 2017,1229
3 October 2017,1555
4 October 2017,8100
5 October 2017,4767
6 October 2017,2569
7 October 2017,2046
8 October 2017,1746
9 October 2017,1591
10 October 2017,1482
11 October 2017,1478
12 October 2017,1716
13 October 2017,1546
14 October 2017,1716
15 October 2017,1546
16 October 2017,1543
17 October 2017,1917
18 October 2017,1509
19 October 2017,1292
20 October 2017,1195
21 October 2017,1304
22 October 2017,1945
23 October 2017,1643
24 October 2017,1322
25 October 2017,1171
26 October 2017,1121
27 October 2017,1077
28 October 2017,978
29 October 2017,904
30 October 2017,888
31 October 2017,938
1 November 2017,828
2 November 2017,731
3 November 2017,686
4 November 2017,650
5 November 2017,630
6 November 2017,608
7 November 2017,583
8 November 2017,649
9 November 2017,1015
10 November 2017,828
11 November 2017,1790
12 November 2017,1179
13 November 2017,943
14 November 2017,915
15 November 2017,3102
16 November 2017,2045
17 November 2017,1258
18 November 2017,1122
19 November 2017,1015
20 November 2017,561
21 November 2017,699
22 November 2017,549
23 November 2017,485
24 November 2017,495
25 November 2017,498
26 November 2017,494
27 November 2017,668
28 November 2017,611
29 November 2017,439
30 November 2017,389
1 December 2017,377
2 December 2017,326
3 December 2017,312
4 December 2017,314
5 December 2017,336
6 December 2017,288
7 December 2017,268
8 December 2017,265
9 December 2017,270
10 December 2017,265
11 December 2017,280
12 December 2017,522
13 December 2017,311
14 December 2017,592
15 December 2017,1096
16 December 2017,858
17 December 2017,727
18 December 2017,838
19 December 2017,729
20 December 2017,618
21 December 2017,496
22 December 2017,417
23 December 2017,382
24 December 2017,360
25 December 2017,337
26 December 2017,303
27 December 2017,287
28 December 2017,264
29 December 2017,278
30 December 2017,262
31 December 2017,253
1 January 2018,620
2 January 2018,1157
3 January 2018,519
4 January 2018,394
5 January 2018,1087
6 January 2018,827
7 January 2018,690
8 January 2018,479
9 January 2018,440
10 January 2018,1750
11 January 2018,1322
12 January 2018,895
13 January 2018,650
14 January 2018,533
15 January 2018,464
16 January 2018,426
17 January 2018,382
18 January 2018,357
19 January 2018,331
20 January 2018,308
21 January 2018,285
22 January 2018,268
23 January 2018,252
24 January 2018,258
25 January 2018,486
26 January 2018,393
27 January 2018,276
28 January 2018,245
29 January 2018,228
30 January 2018,219
31 January 2018,201
1 February 2018,192
2 February 2018,186
3 February 2018,179
4 February 2018,172
5 February 2018,170
6 February 2018,183
7 February 2018,374
8 February 2018,376
9 February 2018,233
10 February 2018,210
11 February 2018,746
12 February 2018,1228
13 February 2018,488
14 February 2018,391
15 February 2018,340
16 February 2018,321
17 February 2018,276
18 February 2018,249
19 February 2018,223
20 February 2018,213
21 February 2018,199
22 February 2018,183
23 February 2018,170
24 February 2018,208
25 February 2018,206
26 February 2018,207
27 February 2018,192
28 February 2018,174
1 March 2018,151
2 March 2018,141
3 March 2018,138
4 March 2018,148
5 March 2018,365
6 March 2018,283
7 March 2018,194
8 March 2018,169
9 March 2018,158
10 March 2018,149
11 March 2018,138
12 March 2018,131
13 March 2018,129
14 March 2018,208
15 March 2018,153
16 March 2018,132
17 March 2018,131
18 March 2018,127
19 March 2018,118
20 March 2018,112
21 March 2018,109
22 March 2018,106
